"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-01","14.32","0.00","53","59","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-02","5.82","0.00","54","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-03","3.58","0.00","52","58","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-04","9.17","0.00","54","59","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-05","8.05","0.00","52","59","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-06","3.58","0.00","51","59","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-07","6.93","0.03","50","56","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-08","9.17","0.00","53","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-09","9.84","0.15","53","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-10","5.37","0.00","49","56","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-11","10.51","0.03","52","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-12","7.83","0.01","49","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-13","6.93","0.05","51","56","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-14","9.62","0.01","52","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-15","5.14","0.00","47","54","39"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-16","11.18","0.72","50","54","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-17","4.25","0.00","47","55","38"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-18","7.38","0.00","49","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-19","5.82","0.00","50","55","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-20","4.92","0.00","50","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-21","8.95","0.01","54","58","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-22","4.47","0.00","54","57","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-23","2.24","0.00","53","58","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-24","6.93","0.00","54","63","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-25","4.92","0.00","56","62","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-26","12.53","0.14","58","61","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-27","5.59","0.00","54","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-28","7.61","0.03","55","62","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-29","10.07","0.00","53","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-30","8.50","0.00","55","63","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-01-31","2.46","0.00","53","66","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-01","8.50","0.00","55","65","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-02","21.92","0.00","54","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-03","11.63","0.00","47","56","38"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-04","10.96","0.00","51","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-05","5.59","0.00","48","62","39"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-06","4.70","0.00","51","65","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-07","8.50","0.00","52","64","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-08","10.51","0.00","53","60","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-09","22.37","0.00","54","61","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-10","5.37","0.00","58","72","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-11","4.03","0.00","59","74","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-12","6.93","0.00","56","66","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-13","7.16","0.00","52","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-14","6.71","0.00","52","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-15","8.50","0.00","53","61","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-16","15.43","0.00","54","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-17","5.37","0.00","54","71","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-18","8.05","0.00","57","67","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-19","6.93","0.00","52","65","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-20","4.03","0.00","54","66","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-21","4.92","0.00","57","70","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-22","12.97","0.00","58","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-23","16.55","0.00","53","59","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-24","7.16","0.00","53","69","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-25","4.47","0.00","56","76","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-26","4.92","0.00","59","73","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-27","3.13","0.00","60","76","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-28","8.50","0.00","61","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-02-29","25.28","0.00","53","57","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-01","11.86","0.00","51","60","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-02","14.32","0.00","59","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-03","6.26","0.00","61","75","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-04","5.14","0.00","58","74","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-05","6.71","0.00","57","62","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-06","10.07","0.00","55","59","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-07","6.93","0.08","52","56","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-08","4.92","0.00","51","59","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-09","3.80","0.00","54","66","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-10","5.37","0.00","59","71","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-11","10.07","0.00","61","70","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-12","9.17","0.00","55","70","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-13","12.30","0.00","56","63","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-14","9.17","0.46","52","54","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-15","10.74","0.20","52","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-16","8.50","0.13","49","55","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-17","6.93","0.01","49","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-18","7.83","0.01","50","57","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-19","6.04","0.00","53","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-20","5.59","0.00","53","63","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-21","5.37","0.00","55","62","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-22","5.14","0.00","56","66","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-23","9.62","0.00","54","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-24","9.17","0.13","53","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-25","12.08","0.06","51","57","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-26","11.41","0.00","50","59","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-27","14.54","0.00","53","59","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-28","6.04","0.04","54","58","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-29","7.16","0.20","54","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-30","6.93","0.00","55","63","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-03-31","11.41","0.00","56","65","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-01","16.11","0.00","55","60","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-02","14.32","0.00","53","63","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-03","16.33","0.00","53","62","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-04","10.96","0.29","53","59","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-05","9.62","0.41","53","58","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-06","5.82","0.66","49","51","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-07","9.40","0.00","49","64","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-08","8.05","0.00","55","62","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-09","6.93","0.00","56","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-10","13.20","0.00","58","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-11","9.62","0.00","55","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-12","8.28","0.00","55","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-13","8.50","0.00","56","68","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-14","7.16","0.00","58","77","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-15","8.50","0.00","61","73","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-16","9.84","0.00","56","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-17","10.07","0.00","56","62","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-18","9.17","0.00","58","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-19","8.05","0.00","58","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-20","12.97","0.00","57","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-21","15.88","0.00","56","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-22","15.21","0.00","58","70","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-23","18.57","0.00","60","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-24","12.53","0.00","61","73","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-25","12.30","0.00","63","78","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-26","17.90","0.00","59","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-27","20.13","0.00","60","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-28","14.54","0.00","61","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-29","17.67","0.00","57","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-04-30","19.01","0.00","57","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-01","15.88","0.00","58","69","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-02","10.51","0.00","60","69","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-03","14.99","0.00","58","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-04","13.20","0.00","56","73","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-05","17.45","0.00","58","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-06","14.54","0.00","60","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-07","10.51","0.00","63","84","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-08","11.41","0.00","62","82","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-09","13.42","0.00","57","66","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-10","8.05","0.00","58","71","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-11","15.21","0.00","60","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-12","10.29","0.02","60","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-13","8.95","0.00","58","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-14","8.50","0.00","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-15","16.11","0.00","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-16","11.86","0.00","61","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-17","12.08","0.16","65","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-18","10.51","0.05","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-19","16.33","0.00","59","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-20","14.76","0.00","59","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-21","14.09","0.00","59","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-22","18.79","0.00","58","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-23","10.74","0.00","59","74","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-24","10.29","0.00","60","80","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-25","9.84","0.00","66","90","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-26","9.62","0.00","68","89","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-27","14.32","0.00","71","78","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-28","14.99","0.00","59","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-29","11.18","0.00","60","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-30","9.40","0.02","65","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-05-31","9.62","0.00","62","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-01","12.08","0.00","62","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-02","10.07","0.00","65","87","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-03","11.41","0.00","70","89","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-04","11.63","0.00","66","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-05","15.66","0.00","60","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-06","19.46","0.00","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-07","21.70","0.00","59","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-08","13.65","0.00","60","73","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-09","12.08","0.00","63","82","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-10","13.87","0.00","64","78","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-11","14.32","0.00","63","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-12","18.12","0.00","62","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-13","15.21","0.00","61","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-14","11.41","0.00","63","70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-15","19.24","0.00","61","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-16","20.80","0.00","61","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-17","9.84","0.00","64","82","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-18","10.51","0.00","67","86","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-19","11.41","0.00","65","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-20","9.17","0.00","61","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-21","14.09","0.00","62","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-22","9.17","0.00","62","76","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-23","9.84","0.00","64","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-24","11.18","0.00","63","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-25","10.51","0.00","62","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-26","11.63","0.00","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-27","11.63","0.00","63","74","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-28","14.99","0.00","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-29","10.51","0.00","63","77","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-06-30","11.41","0.00","64","77","55"
