"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-01","7.61","0.00","61","77","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-02","7.16","0.00","62","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-03","11.18","0.00","61","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-04","13.42","0.00","62","79","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-05","19.91","0.00","64","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-06","25.05","0.00","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-07","17.90","0.00","60","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-08","12.53","0.00","61","73","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-09","14.32","0.00","61","74","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-10","15.88","0.00","60","73","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-11","14.32","0.00","62","76","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-12","14.99","0.00","63","76","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-13","12.75","0.00","62","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-14","6.71","0.00","62","75","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-15","8.28","0.00","63","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-16","11.41","0.00","63","74","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-17","6.71","0.00","63","76","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-18","10.29","0.00","65","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-19","11.41","0.00","63","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-20","14.54","0.00","62","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-21","10.96","0.00","61","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-22","8.50","0.00","63","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-23","11.18","0.00","63","73","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-24","13.20","0.00","60","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-25","7.16","0.00","62","74","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-26","12.08","0.00","64","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-27","14.76","0.00","62","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-28","14.99","0.00","61","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-29","15.21","0.00","60","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-30","14.99","0.00","61","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-07-31","12.30","0.00","60","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-01","14.32","0.00","62","68","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-02","13.87","0.00","62","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-03","18.79","0.00","64","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-04","16.11","0.00","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-05","17.00","0.00","62","66","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-06","12.30","0.00","63","77","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-07","8.50","0.00","64","78","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-08","8.50","0.00","64","77","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-09","10.29","0.00","64","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-10","10.51","0.00","64","73","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-11","10.96","0.00","64","77","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-12","11.86","0.00","64","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-13","8.50","0.00","65","86","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-14","8.50","0.00","74","99","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-15","11.18","0.00","78","94","66"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-16","14.76","0.04","76","86","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-17","12.75","0.01","69","82","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-18","12.08","0.00","68","84","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-19","14.09","0.00","69","80","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-20","17.22","0.00","64","77","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-21","15.43","0.00","66","80","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-22","12.30","0.00","66","79","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-23","12.30","0.00","64","76","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-24","11.86","0.00","64","76","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-25","12.30","0.00","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-26","13.20","0.00","61","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-27","11.86","0.00","60","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-28","10.51","0.00","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-29","7.38","0.00","61","72","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-30","9.17","0.00","62","70","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-08-31","9.62","0.00","61","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-01","6.49","0.00","62","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-02","11.63","0.00","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-03","14.76","0.00","62","67","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-04","13.87","0.00","62","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-05","6.49","0.00","68","93","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-06","8.28","0.00","79","102","68"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-07","10.51","0.00","82","97","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-08","13.20","0.00","68","79","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-09","3.80","0.00","62","66","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-10","5.59","0.00","62","67","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-11","7.61","0.00","62","74","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-12","10.07","0.00","62","76","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-13","12.97","0.00","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-14","10.96","0.00","61","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-15","12.08","0.00","65","73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-16","9.17","0.00","67","79","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-17","10.74","0.00","67","73","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-18","10.51","0.00","67","75","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-19","12.97","0.00","66","79","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-20","9.62","0.00","67","83","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-21","12.53","0.00","64","77","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-22","14.09","0.00","65","73","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-23","13.20","0.00","65","77","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-24","13.65","0.00","67","79","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-25","16.55","0.00","65","72","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-26","13.65","0.00","65","77","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-27","4.47","0.00","70","91","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-28","9.62","0.00","80","96","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-29","13.42","0.00","64","95","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-09-30","8.05","0.00","63","82","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-01","4.70","0.00","71","88","64"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-02","7.38","0.00","71","88","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-03","9.62","0.00","65","85","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-04","14.32","0.00","61","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-05","9.62","0.00","59","74","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-06","12.53","0.00","58","69","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-07","13.20","0.00","58","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-08","10.07","0.00","61","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-09","6.04","0.00","61","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-10","6.93","0.00","64","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-11","9.17","0.00","65","77","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-12","5.82","0.00","65","83","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-13","6.93","0.00","67","84","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-14","6.26","0.00","70","88","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-15","3.80","0.00","74","91","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-16","7.61","0.00","78","94","63"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-17","3.80","0.00","73","91","61"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-18","8.50","0.00","70","83","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-19","10.29","0.00","63","79","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-20","7.16","0.00","62","81","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-21","8.28","0.00","65","79","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-22","9.40","0.00","62","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-23","7.61","0.00","60","72","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-24","6.93","0.00","60","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-25","10.51","0.00","61","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-26","11.41","0.00","64","77","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-27","6.04","0.00","65","77","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-28","5.14","0.00","62","74","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-29","6.49","0.00","60","73","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-30","9.62","0.00","58","65","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-10-31","5.82","0.00","57","76","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-01","3.80","0.00","60","77","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-02","7.83","0.00","61","73","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-03","12.97","0.00","57","67","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-04","8.50","0.00","58","73","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-05","8.50","0.00","61","80","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-06","17.00","0.00","60","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-07","12.75","0.00","54","62","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-08","19.91","0.03","54","57","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-09","5.14","0.00","49","60","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-10","5.59","0.00","50","61","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-11","6.93","0.00","56","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-12","6.49","0.00","53","62","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-13","9.40","0.01","53","60","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-14","5.14","0.00","54","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-15","3.36","0.00","52","67","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-16","2.91","0.00","58","69","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-17","13.20","0.14","60","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-18","7.38","0.13","59","65","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-19","6.26","0.00","55","65","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-20","3.58","0.00","53","65","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-21","2.24","0.00","53","65","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-22","9.40","0.00","51","58","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-23","8.72","0.00","54","61","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-24","6.04","0.00","52","64","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-25","13.20","0.00","55","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-26","10.74","0.00","54","63","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-27","2.68","0.00","53","66","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-28","2.24","0.00","51","64","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-29","3.80","0.00","50","59","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-11-30","7.83","0.00","51","62","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-01","5.14","0.00","51","62","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-02","4.70","0.00","53","66","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-03","3.36","0.00","53","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-04","2.91","0.00","53","61","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-05","4.47","0.00","53","61","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-06","4.70","0.00","52","62","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-07","4.47","0.00","57","73","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-08","4.25","0.00","57","72","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-09","2.91","0.00","56","66","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-10","11.18","0.00","55","62","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-11","9.17","0.29","53","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-12","11.41","0.02","56","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-13","9.40","0.39","54","60","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-14","6.93","0.00","53","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-15","3.80","0.00","50","58","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-16","4.47","0.00","51","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-17","14.54","0.44","56","58","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-18","4.92","0.00","51","63","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-19","2.68","0.00","50","61","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-20","2.46","0.00","51","62","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-21","5.14","0.00","51","58","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-22","6.26","0.00","53","60","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-23","7.61","0.00","51","60","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-24","5.37","0.00","50","56","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-25","9.62","0.16","53","64","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-26","8.72","0.00","57","61","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-27","4.70","0.00","51","57","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-28","9.17","0.02","52","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-29","4.25","0.00","50","61","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-30","7.61","0.04","50","57","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2020-12-31","9.84","0.03","54","60","47"
